time         ,iter.    ,bestScore,live    ,dead
1342290262216,      283,      228,     179,      10
1342290262418,    11259,      358,    5301,     596
1342290262619,    22057,      358,    9909,    1174
1342290262819,    29967,      365,   13029,    1503
1342290263019,    41452,      367,   17195,    2181
1342290263221,    47623,      367,   19436,    2323
1342290263442,    57589,      367,   23394,    2926
1342290263642,    68802,      367,   27738,    3594
1342290263842,    76847,      367,   30718,    4059
1342290265508,    85692,      367,   34196,    4580
1342290265708,    85692,      367,   34197,    4580
